,ATN38177.1,AAA40590.1,NP_990553.1,NP_062002.1,NP_001103242.1,NP_776351.2,AAA19033.1,NP_001123565.1,AAP35454.1,NP_001008996.1
ATN38177.1,11,432,345,379,399,400,406,388,390,386
AAA40590.1,432,9,363,268,286,330,268,253,241,244
NP_990553.1,345,363,21,269,254,267,298,269,270,274
NP_062002.1,379,268,269,4,141,175,156,132,115,118
NP_001103242.1,399,286,254,141,17,101,177,120,113,116
NP_776351.2,400,330,267,175,101,25,212,149,158,162
AAA19033.1,406,268,298,156,177,212,25,145,119,122
NP_001123565.1,388,253,269,132,120,149,145,13,78,82
AAP35454.1,390,241,270,115,113,158,119,78,9,16
NP_001008996.1,386,244,274,118,116,162,122,82,16,9
